c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,obj
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,0,-0.00967704,-0.00431799,-0.587667,-0.625,-4262.5,-0.448317,-0.301424,-25618800
0,1,0,0,-0.00681221,-0.00405509,-0.530667,3440300,-92,0.28379,0.157469,1.00E+20
0,0,0,1,0.000507066,-0.0082785,-0.570333,-0.025,-1369.5,-0.505563,-0.298343,-4560560
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,0,-0.00836021,-0.00775194,-0.544667,-0.125,-1558.5,0.27283,-0.174332,-14831100
0,1,0,0,-0.010101,0.00187427,-0.602667,-0.55,-3519,-0.303403,-0.304544,-25686000
0,1,0,0,-0.00676367,-0.0087728,-0.508333,-0.65,-4533,-0.459972,-0.333228,-26956700
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,0,-0.00594061,-0.00181772,-0.531333,-0.625,-4309,-0.463548,-0.313424,-25230000
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,0,0,1,-0.00797314,-0.00667984,-0.579,-0.225,-1824,0.05297,-0.178425,-15868800
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00942521,-0.00921105,-0.493667,60442300,1,21.5548,4.61641,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.0095122,-0.00661016,-0.143,72437900000,1,27030.1,4898.62,1.00E+20
0,0,0,1,-0.00601066,-0.00442629,-0.557667,-0.15,-1597.5,0.34302,-0.202166,-16328600
0,0,0,1,0.0106168,-0.00677284,-0.56,2076640,1,-0.225076,-0.0587339,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,0,-0.00944538,-0.00820232,-0.539667,-0.675,-4691.5,-0.497773,-0.316377,-26091700
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00924135,-0.00942309,-0.565333,5121390,1,0.91111,0.447678,1.00E+20
0,1,0,0,-0.00291168,-0.00824988,-0.488,0.75,-786.5,-0.042996,-0.0849855,-1648020
0,1,0,1,-0.00943029,-0.00974201,-0.505,30618800,1,10.4258,2.77553,1.00E+20
0,1,0,1,-0.00988411,-0.010101,-0.552,3811960,-107.5,0.42248,0.174734,1.00E+20
0,1,0,1,-0.00980746,-0.00964744,-0.146667,1934360000,1,720.83,133.345,1.00E+20
0,1,0,1,-0.00965623,-0.010101,0.243333,180614000,1,66.3983,12.8206,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.0089338,-0.010101,-0.440667,3805850,1,0.4202,0.281992,1.00E+20
1.00E+20,0,0,0,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00672275,-0.00270745,-0.49,6653130,1,1.4827,0.873207,1.00E+20
0,1,0,0,-0.00809596,-0.00973662,-0.508333,-0.35,-2245,-0.274689,-0.171693,-14858500
0,1,0,1,-0.00559163,-0.00452034,-0.561,5115810,1,0.90903,0.603351,1.00E+20
0,1,0,1,-0.00946586,-0.00977636,-0.589333,-0.525,-3214.5,-0.380598,-0.22851,-20410300
0,1,0,1,-0.00967127,-0.00920948,-0.566333,7317380,1,1.73057,0.819338,1.00E+20
0,0,0,1,0.00440436,-0.00845589,-0.51,2481130,1,-0.074137,0.114634,1.00E+20
0,1,0,1,-0.00988903,-0.00721226,-0.588,-0.725,-5740.5,-0.521557,-0.378107,-31311100
0,1,0,1,-0.00872235,-0.00732448,-0.463333,6555700,1,1.44634,0.78519,1.00E+20
0,1,0,1,-0.00568688,-0.00890444,-0.367,10216000,1,2.81221,1.1378,1.00E+20
0,1,0,1,0.00221471,-0.00376755,-0.566333,4332190,1,0.61661,0.575402,1.00E+20
0,1,0,1,-0.00691959,-0.0065927,-0.477,-0.575,-3567,-0.410119,-0.279057,-22114300
0,1,0,0,-0.00640912,-0.00948566,-0.363,-0.3,-2095,-0.199957,-0.198418,-14846500
0,1,0,1,-0.00820193,0.00203472,-0.592667,-0.725,-6063,-0.537934,-0.394284,-32157200
0,1,0,0,-0.00728011,-0.00312369,-0.547333,-0.55,-3345.5,-0.376559,-0.258882,-21594200
0,1,0,0,-0.0098819,-0.00968396,-0.536333,-0.35,-2204.5,-0.203549,-0.176455,-15899900
0,0,0,1,0.000610559,-0.00284833,-0.555,3288330,1,0.22708,0.143658,1.00E+20
